,January,February,March,April,May,June,July,August,September,October,November,December
sagebrush,0.41,0.42,0.42,0.37,0.42,0.46,0.46,0.6,0.55,0.53,0.51,0.49
a.cool.forb,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
a.warm.forb,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
p.cool.forb,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
p.warm.forb,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
a.cool.grass,0.23,0.2,0.25,0.32,0.36,0.41,0.47,0.5,0.53,0.57,0.53,0.26
p.cool.grass,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
p.warm.grass,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
shrub,0.41,0.42,0.42,0.37,0.42,0.46,0.46,0.6,0.55,0.53,0.51,0.49
succulents,0.5,0.53,0.57,0.53,0.26,0.23,0.2,0.25,0.32,0.36,0.41,0.47
