,January,February,March,April,May,June,July,August,September,October,November,December
sagebrush,0.06,0.08,0.2,0.33,0.55,0.57,0.57,0.46,0.32,0.15,0.08,0.06
a.cool.forb,0,0.05,0.1,0.2,0.6,0.4,0.2,0.1,0.05,0,0,0
a.warm.forb,0,0,0.05,0.1,0.2,0.6,0.4,0.2,0.1,0.05,0,0
p.cool.forb,0,0.1,0.1,0.3,0.6,0.6,0.4,0.4,0.2,0.1,0,0
p.warm.forb,0,0,0.1,0.2,0.4,0.6,0.6,0.6,0.4,0.2,0.1,0
a.cool.grass,0.05,0.1,0.3,0.6,0.4,0.2,0.1,0,0,0.05,0.05,0.05
p.cool.grass,0,0.1,0.1,0.3,0.6,0.6,0.4,0.4,0.2,0.1,0,0
p.warm.grass,0,0,0.1,0.2,0.4,0.4,0.6,0.6,0.4,0.2,0.1,0
shrub,0.1,0.1,0.2,0.3,0.4,0.6,0.6,0.4,0.4,0.2,0.1,0.1
succulents,0,0,0.1,0.2,0.4,0.6,0.6,0.6,0.4,0.2,0.1,0
