Site,treatment,name,space,density,maxest,slow,stretch,xres,estann,on,startyr,xgrow,veg_prod_type,killyr,killfreq_startyr,Prescribed_killfreq,extirp,mort,proportion_killed,proportion_recovered,grazing_frq,proportion_grazing,grazingfreq_startyr,biomass,transpiration
all,fixed1,sagebrush,0.32,1,1,0.05,8,1,0,1,1,0.1,2,0,0,0,0,1,1,0,0,0,0,900,23
all,fixed1,a.cool.forb,0.03,5,1,0.05,2,1,0,1,1,0.2,4,0,0,0,0,1,1,0,0,0.24,0,900,23
all,fixed1,a.warm.forb,0.02,3,1,0.05,2,1,0,1,1,0.2,4,0,0,0,0,1,1,0,0,0.24,0,900,23
all,fixed1,p.cool.forb,0.16,8,1,0.05,2,1,0,1,1,0.2,4,0,0,0,0,1,1,0.5,0,0.24,0,900,23
all,fixed1,p.warm.forb,0.04,3,1,0.05,2,1,0,1,1,0.2,4,0,0,0,0,1,1,0.5,0,0.24,0,900,23
all,fixed1,a.cool.grass,0.05,50,1,0.05,2,1,0,1,1,0.3,3,0,0,0,0,1,1,0,0,0.24,0,900,23
all,fixed1,p.cool.grass,0.22,15,1,0.05,2,1,0,1,1,0.3,3,0,0,0,0,1,1,0.8,0,0.24,0,900,23
all,fixed1,p.warm.grass,0.04,5,1,0.05,2,1,0,1,1,0.3,3,0,0,0,0,1,1,0.8,0,0.24,0,900,23
all,fixed1,shrub,0.09,1,1,0.05,2,1,0,1,1,0.2,2,0,0,0,0,1,1,0.5,0,0.24,0,900,23
all,fixed1,succulents,0.03,0.31,1,0.05,8,1,0,1,1,0.1,2,0,0,0,0,1,1,0,0,0,0,900,23
