Site,soil_treatment,depth,matricd,gravel_content,evco,trco_grass,trco_shrub,trco_tree,trco_forb,%sand,%clay,imperm,soiltemp
1,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.556,0.22,0,0.186
1,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.552,0.228,0,0.372
1,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.56,0.236,0,0.744
1,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.624,0.207,0,1.116
1,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.677,0.201,0,1.488
1,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.683,0.191,0,2.232
1,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.12,0,2.975
1,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.125,0,2.975
2,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.655,0.146,0,0.186
2,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.535,0.175,0,0.372
2,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.528,0.153,0,0.744
2,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.528,0.151,0,1.116
2,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.528,0.149,0,1.488
2,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.512,0.142,0,2.232
2,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.622,0.159,0,2.975
2,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.646,0.168,0,2.975
3,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.7,0.09,0,0.186
3,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.7,0.144,0,0.372
3,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.7,0.173,0,0.744
3,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.7,0.168,0,1.116
3,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.7,0.144,0,1.488
3,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.674,0.124,0,2.232
3,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.685,0.113,0,2.975
3,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.65,0.18,0,2.975
4,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.619,0.125,0,0.186
4,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.625,0.116,0,0.372
4,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.625,0.122,0,0.744
4,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.675,0.13,0,1.116
4,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.7,0.086,0,1.488
4,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.7,0.079,0,2.232
4,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.7,0.079,0,2.975
4,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.7,0.079,0,2.975
5,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.534,0.167,0,0.186
5,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.515,0.176,0,0.372
5,specific,30,1.39,0,0.15,0.148735509,0.133709996,0.3,0.148735509,0.492,0.176,0,0.744
5,specific,40,1.39,0,0,0.103598443,0.106380832,0.2,0.103598443,0.471,0.213,0,1.116
5,specific,60,1.38,0,0,0.122420124,0.151975847,0.1,0.122420124,0.46,0.217,0,1.488
5,specific,80,1.15,0,0,0.059392272,0.096199668,0.05,0.059392272,0.447,0.22,0,2.232
5,specific,100,1.31,0,0,0.028814231,0.060893731,0,0.028814231,0.425,0.256,0,2.975
5,specific,150,1.31,0,0,0.016925393,0.071545414,0,0.016925393,0.437,0.285,0,2.975
6,specific,10,1.43,0,0.5,0.306575568,0.211234509,0.1,0.306575568,0.577,0.212,0,0.186
6,specific,20,1.41,0,0.35,0.213538459,0.168060003,0.25,0.213538459,0.556,0.269,0,0.372
